"","score","method","forest"
"rpart1",20.219739122783,"rpart","DECISION TREE"
"rpart2",19.7615973653457,"rpart","DECISION TREE"
"rpart3",21.8305669662541,"rpart","DECISION TREE"
"rpart4",19.617431589976,"rpart","DECISION TREE"
"rpart5",20.1295856249327,"rpart","DECISION TREE"
"rpart6",20.5517748382471,"rpart","DECISION TREE"
"rpart7",20.4131038714768,"rpart","DECISION TREE"
"rpart8",20.9158816427222,"rpart","DECISION TREE"
"rpart9",21.4497820628875,"rpart","DECISION TREE"
"rpart10",22.5092873748816,"rpart","DECISION TREE"
"rpart11",23.1057935262984,"rpart","DECISION TREE"
"rpart12",19.9182263202583,"rpart","DECISION TREE"
"rpart13",18.8907716611462,"rpart","DECISION TREE"
"rpart14",22.3615650734145,"rpart","DECISION TREE"
"rpart15",24.8584333168175,"rpart","DECISION TREE"
"rpart16",20.6496364294227,"rpart","DECISION TREE"
"rpart17",20.6150786025876,"rpart","DECISION TREE"
"rpart18",20.0895140818396,"rpart","DECISION TREE"
"rpart19",20.6053969436402,"rpart","DECISION TREE"
"rpart20",20.2464534324821,"rpart","DECISION TREE"
"rpart21",21.8527103513159,"rpart","DECISION TREE"
"rpart22",21.8356004347957,"rpart","DECISION TREE"
"rpart23",18.4294259189364,"rpart","DECISION TREE"
"rpart24",21.0568322763427,"rpart","DECISION TREE"
"rpart25",23.5068633092642,"rpart","DECISION TREE"
"rpart26",18.1483895852837,"rpart","DECISION TREE"
"rpart27",21.3003684358236,"rpart","DECISION TREE"
"rpart28",19.4358643571077,"rpart","DECISION TREE"
"rpart29",22.1059326968557,"rpart","DECISION TREE"
"rpart30",20.0000164800225,"rpart","DECISION TREE"
"rpart31",21.5908921288868,"rpart","DECISION TREE"
"rpart32",22.3903019281026,"rpart","DECISION TREE"
"rpart33",18.858667927424,"rpart","DECISION TREE"
"rpart34",21.5936487714257,"rpart","DECISION TREE"
"rpart35",20.8988975250038,"rpart","DECISION TREE"
"rpart36",18.9706740278479,"rpart","DECISION TREE"
"rpart37",21.0591022543462,"rpart","DECISION TREE"
"rpart38",22.1339468126681,"rpart","DECISION TREE"
"rpart39",22.2098717954247,"rpart","DECISION TREE"
"rpart40",21.1924893638442,"rpart","DECISION TREE"
"rpart41",23.0547324723958,"rpart","DECISION TREE"
"rpart42",20.5379555525189,"rpart","DECISION TREE"
"rpart43",20.8595007378267,"rpart","DECISION TREE"
"rpart44",19.4575910770555,"rpart","DECISION TREE"
"rpart45",23.9210518498417,"rpart","DECISION TREE"
"rpart46",20.9797246884448,"rpart","DECISION TREE"
"rpart47",20.9624632627891,"rpart","DECISION TREE"
"rpart48",21.3342435219073,"rpart","DECISION TREE"
"rpart49",22.8187764760423,"rpart","DECISION TREE"
"rpart50",24.0369825754069,"rpart","DECISION TREE"
"rpart51",19.4072612924369,"rpart","DECISION TREE"
"rpart52",18.1076356252716,"rpart","DECISION TREE"
"rpart53",21.0329324309266,"rpart","DECISION TREE"
"rpart54",19.2359271553049,"rpart","DECISION TREE"
"rpart55",18.8427197876297,"rpart","DECISION TREE"
"rpart56",17.4996757417457,"rpart","DECISION TREE"
"rpart57",22.3589881588893,"rpart","DECISION TREE"
"rpart58",22.0715810799144,"rpart","DECISION TREE"
"rpart59",19.8253583175471,"rpart","DECISION TREE"
"rpart60",23.111824266117,"rpart","DECISION TREE"
"rpart61",17.6457781785312,"rpart","DECISION TREE"
"rpart62",19.3030624766235,"rpart","DECISION TREE"
"rpart63",20.2261475841809,"rpart","DECISION TREE"
"rpart64",19.2706218457717,"rpart","DECISION TREE"
"rpart65",21.5226722613163,"rpart","DECISION TREE"
"rpart66",19.0116547394648,"rpart","DECISION TREE"
"rpart67",20.42882253727,"rpart","DECISION TREE"
"rpart68",20.1087464183622,"rpart","DECISION TREE"
"rpart69",19.8718854548374,"rpart","DECISION TREE"
"rpart70",22.5089098454276,"rpart","DECISION TREE"
"rpart71",22.2626547466429,"rpart","DECISION TREE"
"rpart72",21.6345181183359,"rpart","DECISION TREE"
"rpart73",18.9848595555719,"rpart","DECISION TREE"
"rpart74",21.259198383622,"rpart","DECISION TREE"
"rpart75",20.7458521002537,"rpart","DECISION TREE"
"rpart76",21.753272946207,"rpart","DECISION TREE"
"rpart77",21.4982760909511,"rpart","DECISION TREE"
"rpart78",18.4795034236547,"rpart","DECISION TREE"
"rpart79",20.7690194983726,"rpart","DECISION TREE"
"rpart80",18.9650659606523,"rpart","DECISION TREE"
"rpart81",21.5825097787257,"rpart","DECISION TREE"
"rpart82",17.4668712821211,"rpart","DECISION TREE"
"rpart83",22.2174679566538,"rpart","DECISION TREE"
"rpart84",22.5465520496276,"rpart","DECISION TREE"
"rpart85",19.0819128412825,"rpart","DECISION TREE"
"rpart86",21.533993172758,"rpart","DECISION TREE"
"rpart87",20.0005652509711,"rpart","DECISION TREE"
"rpart88",18.2782362171641,"rpart","DECISION TREE"
"rpart89",18.6218649007993,"rpart","DECISION TREE"
"rpart90",18.1185297532878,"rpart","DECISION TREE"
"rpart91",17.9949768578772,"rpart","DECISION TREE"
"rpart92",21.6020967966744,"rpart","DECISION TREE"
"rpart93",21.7457686722698,"rpart","DECISION TREE"
"rpart94",19.8572122244652,"rpart","DECISION TREE"
"rpart95",22.2162254953896,"rpart","DECISION TREE"
"rpart96",19.5784669322168,"rpart","DECISION TREE"
"rpart97",20.6894953038942,"rpart","DECISION TREE"
"rpart98",18.0738923920003,"rpart","DECISION TREE"
"rpart99",21.2940326363802,"rpart","DECISION TREE"
"rpart100",23.5594818584207,"rpart","DECISION TREE"
"rpart101",22.0038814990218,"rpart","DECISION TREE"
"rpart102",20.8784767209341,"rpart","DECISION TREE"
"rpart103",22.4364029977292,"rpart","DECISION TREE"
"rpart104",20.5971318636517,"rpart","DECISION TREE"
"rpart105",18.5882469906152,"rpart","DECISION TREE"
"rpart106",22.5930900536214,"rpart","DECISION TREE"
"rpart107",21.0752353044432,"rpart","DECISION TREE"
"rpart108",20.0585957551052,"rpart","DECISION TREE"
"rpart109",21.7934894192194,"rpart","DECISION TREE"
"rpart110",20.559712826351,"rpart","DECISION TREE"
"rpart111",20.363076799899,"rpart","DECISION TREE"
"rpart112",21.5909705055365,"rpart","DECISION TREE"
"rpart113",21.9628599961392,"rpart","DECISION TREE"
"rpart114",22.5937503952099,"rpart","DECISION TREE"
"rpart115",20.2848886172247,"rpart","DECISION TREE"
"rpart116",20.1068813290115,"rpart","DECISION TREE"
"rpart117",20.7157335309476,"rpart","DECISION TREE"
"rpart118",22.70830465878,"rpart","DECISION TREE"
"rpart119",18.2812674040041,"rpart","DECISION TREE"
"rpart120",25.9484447695442,"rpart","DECISION TREE"
"rpart121",21.7902787751034,"rpart","DECISION TREE"
"rpart122",21.1535999547753,"rpart","DECISION TREE"
"rpart123",21.6910158711919,"rpart","DECISION TREE"
"rpart124",19.6390232252472,"rpart","DECISION TREE"
"rpart125",21.2549945048698,"rpart","DECISION TREE"
"rpart126",20.2361098824004,"rpart","DECISION TREE"
"rpart127",21.55667420394,"rpart","DECISION TREE"
"rpart128",18.9972227745418,"rpart","DECISION TREE"
"rpart129",21.5546671354915,"rpart","DECISION TREE"
"rpart130",18.5610269872048,"rpart","DECISION TREE"
"rpart131",22.6156378353932,"rpart","DECISION TREE"
"rpart132",20.103869666584,"rpart","DECISION TREE"
"rpart133",18.8280849025149,"rpart","DECISION TREE"
"rpart134",23.7441216338332,"rpart","DECISION TREE"
"rpart135",20.0455297717225,"rpart","DECISION TREE"
"rpart136",21.3829682798611,"rpart","DECISION TREE"
"rpart137",19.9782803700357,"rpart","DECISION TREE"
"rpart138",21.7953431969717,"rpart","DECISION TREE"
"rpart139",17.3698787583312,"rpart","DECISION TREE"
"rpart140",20.4960515051523,"rpart","DECISION TREE"
"rpart141",21.4488963265403,"rpart","DECISION TREE"
"rpart142",18.8472145699703,"rpart","DECISION TREE"
"rpart143",20.3979353249306,"rpart","DECISION TREE"
"rpart144",20.5262962367888,"rpart","DECISION TREE"
"rpart145",18.5579750312487,"rpart","DECISION TREE"
"rpart146",19.1620252687212,"rpart","DECISION TREE"
"rpart147",20.2063781282622,"rpart","DECISION TREE"
"rpart148",19.6885614074299,"rpart","DECISION TREE"
"rpart149",23.2484205768399,"rpart","DECISION TREE"
"rpart150",23.7868035637259,"rpart","DECISION TREE"
"rpart151",21.4002020729623,"rpart","DECISION TREE"
"rpart152",20.1589931633645,"rpart","DECISION TREE"
"rpart153",21.2146098864583,"rpart","DECISION TREE"
"rpart154",18.6632750865487,"rpart","DECISION TREE"
"rpart155",23.0374688646834,"rpart","DECISION TREE"
"rpart156",22.142687363287,"rpart","DECISION TREE"
"rpart157",19.4822066341057,"rpart","DECISION TREE"
"rpart158",24.0866737431381,"rpart","DECISION TREE"
"rpart159",19.9217837326414,"rpart","DECISION TREE"
"rpart160",18.4052332615501,"rpart","DECISION TREE"
"rpart161",20.2328785004577,"rpart","DECISION TREE"
"rpart162",20.8993836554269,"rpart","DECISION TREE"
"rpart163",21.648529484241,"rpart","DECISION TREE"
"rpart164",20.815094046907,"rpart","DECISION TREE"
"rpart165",20.0847475290768,"rpart","DECISION TREE"
"rpart166",24.0971418085689,"rpart","DECISION TREE"
"rpart167",23.1416450012791,"rpart","DECISION TREE"
"rpart168",22.1030965638471,"rpart","DECISION TREE"
"rpart169",22.6049320062806,"rpart","DECISION TREE"
"rpart170",21.204979133122,"rpart","DECISION TREE"
"rpart171",18.4714589302715,"rpart","DECISION TREE"
"rpart172",21.1291519631978,"rpart","DECISION TREE"
"rpart173",23.2084177905485,"rpart","DECISION TREE"
"rpart174",19.5590877968681,"rpart","DECISION TREE"
"rpart175",20.5820323956495,"rpart","DECISION TREE"
"rpart176",17.5223294842344,"rpart","DECISION TREE"
"rpart177",20.3701268385463,"rpart","DECISION TREE"
"rpart178",20.828969435631,"rpart","DECISION TREE"
"rpart179",19.1133413511227,"rpart","DECISION TREE"
"rpart180",22.3875905722542,"rpart","DECISION TREE"
