"","score","method","forest"
"rpart1",17.898822665659,"rpart","DECISION TREE"
"rpart2",19.7131651093328,"rpart","DECISION TREE"
"rpart3",21.000840981802,"rpart","DECISION TREE"
"rpart4",17.2792389723855,"rpart","DECISION TREE"
"rpart5",19.9265475973739,"rpart","DECISION TREE"
"rpart6",20.0800365330463,"rpart","DECISION TREE"
"rpart7",17.7235812400201,"rpart","DECISION TREE"
"rpart8",18.0606225017092,"rpart","DECISION TREE"
"rpart9",22.1064832405043,"rpart","DECISION TREE"
"rpart10",21.2707208271081,"rpart","DECISION TREE"
"rpart11",18.5179899882449,"rpart","DECISION TREE"
"rpart12",19.2666921190706,"rpart","DECISION TREE"
"rpart13",19.1283141332004,"rpart","DECISION TREE"
"rpart14",18.2015054742842,"rpart","DECISION TREE"
"rpart15",16.9401818640054,"rpart","DECISION TREE"
"rpart16",14.2351302625439,"rpart","DECISION TREE"
"rpart17",17.4032336539533,"rpart","DECISION TREE"
"rpart18",20.1130475649706,"rpart","DECISION TREE"
"rpart19",19.0948948638688,"rpart","DECISION TREE"
"rpart20",17.5164734115722,"rpart","DECISION TREE"
"rpart21",17.3840195986159,"rpart","DECISION TREE"
"rpart22",18.1815514993222,"rpart","DECISION TREE"
"rpart23",15.0369027718359,"rpart","DECISION TREE"
"rpart24",17.0460447570646,"rpart","DECISION TREE"
"rpart25",20.4382947992105,"rpart","DECISION TREE"
"rpart26",15.6588911312854,"rpart","DECISION TREE"
"rpart27",17.6060400050487,"rpart","DECISION TREE"
"rpart28",18.818074917739,"rpart","DECISION TREE"
"rpart29",17.2215466456926,"rpart","DECISION TREE"
"rpart30",18.878697454689,"rpart","DECISION TREE"
"rpart31",19.8314127608199,"rpart","DECISION TREE"
"rpart32",18.9537489187484,"rpart","DECISION TREE"
"rpart33",19.4521316918856,"rpart","DECISION TREE"
"rpart34",19.0469208451199,"rpart","DECISION TREE"
"rpart35",18.3408658442617,"rpart","DECISION TREE"
"rpart36",19.381097921867,"rpart","DECISION TREE"
"rpart37",17.2924311842881,"rpart","DECISION TREE"
"rpart38",18.1607332546956,"rpart","DECISION TREE"
"rpart39",17.3798478718999,"rpart","DECISION TREE"
"rpart40",19.6910769388596,"rpart","DECISION TREE"
"rpart41",17.6148670237373,"rpart","DECISION TREE"
"rpart42",19.5315760624763,"rpart","DECISION TREE"
"rpart43",15.4474003212082,"rpart","DECISION TREE"
"rpart44",19.8742412329797,"rpart","DECISION TREE"
"rpart45",16.5488677929409,"rpart","DECISION TREE"
"rpart46",18.8564721885389,"rpart","DECISION TREE"
"rpart47",17.6845787322133,"rpart","DECISION TREE"
"rpart48",15.5518999988084,"rpart","DECISION TREE"
"rpart49",19.6122521990692,"rpart","DECISION TREE"
"rpart50",18.1320022107065,"rpart","DECISION TREE"
"rpart51",15.7253571998038,"rpart","DECISION TREE"
"rpart52",15.8897718719652,"rpart","DECISION TREE"
