"","score","method","forest"
"rpart1",9.02600154893406,"rpart","DECISION TREE"
"rpart2",11.76779376071,"rpart","DECISION TREE"
"rpart3",12.2441373022141,"rpart","DECISION TREE"
"rpart4",7.45391198936167,"rpart","DECISION TREE"
"rpart5",9.5813284350913,"rpart","DECISION TREE"
"rpart6",11.443125200991,"rpart","DECISION TREE"
"rpart7",8.41944672449001,"rpart","DECISION TREE"
"rpart8",8.31285980710994,"rpart","DECISION TREE"
"rpart9",10.5548761478996,"rpart","DECISION TREE"
"rpart10",9.16002274071041,"rpart","DECISION TREE"
"rpart11",10.5878556067362,"rpart","DECISION TREE"
"rpart12",10.3797297574591,"rpart","DECISION TREE"
"rpart13",10.1803953153481,"rpart","DECISION TREE"
"rpart14",9.08352163793458,"rpart","DECISION TREE"
"rpart15",10.7572695014128,"rpart","DECISION TREE"
"rpart16",9.65511249476621,"rpart","DECISION TREE"
"rpart17",7.5653513371604,"rpart","DECISION TREE"
"rpart18",9.54741271102297,"rpart","DECISION TREE"
"rpart19",10.9898299243826,"rpart","DECISION TREE"
"rpart20",9.65615358289736,"rpart","DECISION TREE"
"rpart21",8.68244539439128,"rpart","DECISION TREE"
"rpart22",10.1365840324104,"rpart","DECISION TREE"
"rpart23",7.7511533207547,"rpart","DECISION TREE"
"rpart24",9.9512661774562,"rpart","DECISION TREE"
"rpart25",9.7411540725948,"rpart","DECISION TREE"
"rpart26",9.09105817575265,"rpart","DECISION TREE"
"rpart27",10.4397391742038,"rpart","DECISION TREE"
"rpart28",8.38115636274752,"rpart","DECISION TREE"
"rpart29",11.6507704287685,"rpart","DECISION TREE"
"rpart30",9.70793514139834,"rpart","DECISION TREE"
"rpart31",10.8476237142643,"rpart","DECISION TREE"
"rpart32",12.4950546487973,"rpart","DECISION TREE"
"rpart33",9.27570270060267,"rpart","DECISION TREE"
"rpart34",11.1566867145261,"rpart","DECISION TREE"
"rpart35",10.0859793110893,"rpart","DECISION TREE"
"rpart36",8.88189261925219,"rpart","DECISION TREE"
"rpart37",9.16905044270522,"rpart","DECISION TREE"
"rpart38",10.0765892845174,"rpart","DECISION TREE"
"rpart39",8.49448206265076,"rpart","DECISION TREE"
"rpart40",11.0557150826124,"rpart","DECISION TREE"
"rpart41",9.50786864920282,"rpart","DECISION TREE"
"rpart42",10.3703865928484,"rpart","DECISION TREE"
"rpart43",8.35627512029877,"rpart","DECISION TREE"
"rpart44",8.04157755189544,"rpart","DECISION TREE"
"rpart45",9.90773387206413,"rpart","DECISION TREE"
"rpart46",11.8211252565173,"rpart","DECISION TREE"
"rpart47",8.08920371668566,"rpart","DECISION TREE"
"rpart48",9.12994867208258,"rpart","DECISION TREE"
"rpart49",11.7534984960843,"rpart","DECISION TREE"
"rpart50",9.86220415924693,"rpart","DECISION TREE"
"rpart51",9.72919683846545,"rpart","DECISION TREE"
"rpart52",9.12408056683099,"rpart","DECISION TREE"
"rpart53",8.79594725238776,"rpart","DECISION TREE"
"rpart54",9.65977786599809,"rpart","DECISION TREE"
"rpart55",9.99475713799796,"rpart","DECISION TREE"
"rpart56",9.2869833860426,"rpart","DECISION TREE"
"rpart57",9.23488707539978,"rpart","DECISION TREE"
"rpart58",9.20563746202234,"rpart","DECISION TREE"
"rpart59",9.77505128391748,"rpart","DECISION TREE"
"rpart60",7.07859412014675,"rpart","DECISION TREE"
"rpart61",8.81530625856766,"rpart","DECISION TREE"
"rpart62",10.4197929353844,"rpart","DECISION TREE"
"rpart63",10.293746073371,"rpart","DECISION TREE"
"rpart64",9.8584273756465,"rpart","DECISION TREE"
"rpart65",11.2178306948536,"rpart","DECISION TREE"
"rpart66",8.72073727685905,"rpart","DECISION TREE"
"rpart67",8.88178103587981,"rpart","DECISION TREE"
"rpart68",9.5173078781899,"rpart","DECISION TREE"
"rpart69",9.15370920413562,"rpart","DECISION TREE"
"rpart70",9.46498561450008,"rpart","DECISION TREE"
"rpart71",9.53427633118528,"rpart","DECISION TREE"
"rpart72",9.83296190891681,"rpart","DECISION TREE"
"rpart73",9.66846738167355,"rpart","DECISION TREE"
"rpart74",8.0849181276065,"rpart","DECISION TREE"
"rpart75",9.1330140812924,"rpart","DECISION TREE"
"rpart76",11.9752990991316,"rpart","DECISION TREE"
"rpart77",9.93852992520755,"rpart","DECISION TREE"
"rpart78",11.4486179404029,"rpart","DECISION TREE"
"rpart79",8.86662311762886,"rpart","DECISION TREE"
"rpart80",8.94349271886007,"rpart","DECISION TREE"
"rpart81",10.8011781552335,"rpart","DECISION TREE"
"rpart82",12.4001445732768,"rpart","DECISION TREE"
"rpart83",9.46561257693581,"rpart","DECISION TREE"
"rpart84",10.3917316085719,"rpart","DECISION TREE"
"rpart85",10.9109398735944,"rpart","DECISION TREE"
"rpart86",8.46833557631837,"rpart","DECISION TREE"
"rpart87",7.53613442027963,"rpart","DECISION TREE"
"rpart88",8.98526677088372,"rpart","DECISION TREE"
"rpart89",7.66876000730221,"rpart","DECISION TREE"
"rpart90",9.26639602680682,"rpart","DECISION TREE"
"rpart91",8.87747235002621,"rpart","DECISION TREE"
"rpart92",8.55457662313164,"rpart","DECISION TREE"
"rpart93",9.68462489512019,"rpart","DECISION TREE"
"rpart94",10.4325303250343,"rpart","DECISION TREE"
"rpart95",9.38190479914653,"rpart","DECISION TREE"
"rpart96",9.66496294260129,"rpart","DECISION TREE"
"rpart97",11.2377476098916,"rpart","DECISION TREE"
"rpart98",8.5456338577392,"rpart","DECISION TREE"
"rpart99",7.26342981209479,"rpart","DECISION TREE"
"rpart100",9.46294363439313,"rpart","DECISION TREE"
"rpart101",9.79970913556304,"rpart","DECISION TREE"
"rpart102",9.25387229781604,"rpart","DECISION TREE"
"rpart103",11.1291570864495,"rpart","DECISION TREE"
"rpart104",8.57117202406178,"rpart","DECISION TREE"
"rpart105",9.44339695053871,"rpart","DECISION TREE"
"rpart106",10.5731686819918,"rpart","DECISION TREE"
"rpart107",10.5311898819786,"rpart","DECISION TREE"
"rpart108",9.24003663582229,"rpart","DECISION TREE"
"rpart109",8.12526765319961,"rpart","DECISION TREE"
"rpart110",11.1896987304368,"rpart","DECISION TREE"
"rpart111",8.00642849373282,"rpart","DECISION TREE"
"rpart112",10.4685242119957,"rpart","DECISION TREE"
"rpart113",8.54874264957609,"rpart","DECISION TREE"
"rpart114",11.3743749930509,"rpart","DECISION TREE"
"rpart115",9.5895375583258,"rpart","DECISION TREE"
"rpart116",9.67992639334502,"rpart","DECISION TREE"
"rpart117",7.00244742036382,"rpart","DECISION TREE"
"rpart118",11.0441811664342,"rpart","DECISION TREE"
"rpart119",10.1320489232665,"rpart","DECISION TREE"
"rpart120",11.43757984411,"rpart","DECISION TREE"
"rpart121",13.4314629779176,"rpart","DECISION TREE"
"rpart122",9.3999051127465,"rpart","DECISION TREE"
"rpart123",9.74265113105095,"rpart","DECISION TREE"
"rpart124",8.02967494544329,"rpart","DECISION TREE"
"rpart125",11.1420027386116,"rpart","DECISION TREE"
"rpart126",9.2977872133764,"rpart","DECISION TREE"
"rpart127",10.171498556243,"rpart","DECISION TREE"
"rpart128",9.82423180235788,"rpart","DECISION TREE"
"rpart129",10.958311945185,"rpart","DECISION TREE"
"rpart130",8.97636511955826,"rpart","DECISION TREE"
"rpart131",9.89186175323414,"rpart","DECISION TREE"
"rpart132",10.2279810169529,"rpart","DECISION TREE"
"rpart133",8.15564629846979,"rpart","DECISION TREE"
"rpart134",9.17648720211306,"rpart","DECISION TREE"
"rpart135",9.64463249291775,"rpart","DECISION TREE"
"rpart136",13.2674683333076,"rpart","DECISION TREE"
"rpart137",8.88397629619197,"rpart","DECISION TREE"
"rpart138",8.77204721245283,"rpart","DECISION TREE"
"rpart139",8.82907364335352,"rpart","DECISION TREE"
"rpart140",9.71147534776387,"rpart","DECISION TREE"
"rpart141",10.0698377258042,"rpart","DECISION TREE"
"rpart142",9.63498158640762,"rpart","DECISION TREE"
"rpart143",9.39400595616975,"rpart","DECISION TREE"
"rpart144",8.92479160600702,"rpart","DECISION TREE"
"rpart145",10.1390776254086,"rpart","DECISION TREE"
"rpart146",10.2967498971279,"rpart","DECISION TREE"
"rpart147",8.80043517992594,"rpart","DECISION TREE"
"rpart148",11.4404581368927,"rpart","DECISION TREE"
"rpart149",10.8289362101286,"rpart","DECISION TREE"
"rpart150",9.5568745096702,"rpart","DECISION TREE"
"rpart151",9.41681038037864,"rpart","DECISION TREE"
"rpart152",8.89963751519589,"rpart","DECISION TREE"
"rpart153",10.0856164881206,"rpart","DECISION TREE"
"rpart154",8.4998111633952,"rpart","DECISION TREE"
"rpart155",12.7724772837073,"rpart","DECISION TREE"
"rpart156",8.79628777595029,"rpart","DECISION TREE"
"rpart157",7.42716541921338,"rpart","DECISION TREE"
"rpart158",10.106168564503,"rpart","DECISION TREE"
"rpart159",9.88993547760296,"rpart","DECISION TREE"
"rpart160",10.5581897659398,"rpart","DECISION TREE"
"rpart161",9.34483087525035,"rpart","DECISION TREE"
"rpart162",8.87424818302877,"rpart","DECISION TREE"
"rpart163",10.5497564515233,"rpart","DECISION TREE"
"rpart164",9.54104697753816,"rpart","DECISION TREE"
"rpart165",8.66708109224314,"rpart","DECISION TREE"
"rpart166",9.62951386439137,"rpart","DECISION TREE"
"rpart167",8.23590299605954,"rpart","DECISION TREE"
"rpart168",8.39501925914301,"rpart","DECISION TREE"
"rpart169",10.1069973486346,"rpart","DECISION TREE"
"rpart170",9.46501303910957,"rpart","DECISION TREE"
"rpart171",9.85923242513782,"rpart","DECISION TREE"
"rpart172",10.3741760426936,"rpart","DECISION TREE"
"rpart173",10.802451700127,"rpart","DECISION TREE"
"rpart174",9.01132612323938,"rpart","DECISION TREE"
"rpart175",9.84422882178492,"rpart","DECISION TREE"
"rpart176",9.82954993806967,"rpart","DECISION TREE"
"rpart177",8.33276647889028,"rpart","DECISION TREE"
"rpart178",9.48515729850094,"rpart","DECISION TREE"
"rpart179",8.73459967220903,"rpart","DECISION TREE"
"rpart180",10.470178808097,"rpart","DECISION TREE"
"rpart181",11.9745042198553,"rpart","DECISION TREE"
"rpart182",9.68284738594757,"rpart","DECISION TREE"
"rpart183",8.83321601283087,"rpart","DECISION TREE"
"rpart184",9.23218834630297,"rpart","DECISION TREE"
"rpart185",10.0714809933074,"rpart","DECISION TREE"
"rpart186",8.48969394185362,"rpart","DECISION TREE"
"rpart187",8.91792047550035,"rpart","DECISION TREE"
"rpart188",8.54903771321448,"rpart","DECISION TREE"
"rpart189",12.1084236576251,"rpart","DECISION TREE"
"rpart190",7.91741362775026,"rpart","DECISION TREE"
"rpart191",10.690339264542,"rpart","DECISION TREE"
"rpart192",8.90967090321249,"rpart","DECISION TREE"
"rpart193",9.82419980476233,"rpart","DECISION TREE"
"rpart194",10.5996205891974,"rpart","DECISION TREE"
"rpart195",10.0235487938979,"rpart","DECISION TREE"
"rpart196",9.24629357313,"rpart","DECISION TREE"
"rpart197",9.6767940302318,"rpart","DECISION TREE"
"rpart198",7.59822912454515,"rpart","DECISION TREE"
"rpart199",11.3924832514042,"rpart","DECISION TREE"
"rpart200",9.97385160628778,"rpart","DECISION TREE"
"rpart201",10.9024115393413,"rpart","DECISION TREE"
"rpart202",9.58580895684354,"rpart","DECISION TREE"
"rpart203",11.0061127055727,"rpart","DECISION TREE"
"rpart204",9.92364188483847,"rpart","DECISION TREE"
"rpart205",10.1336511002795,"rpart","DECISION TREE"
"rpart206",12.734692612405,"rpart","DECISION TREE"
"rpart207",9.35530288304444,"rpart","DECISION TREE"
"rpart208",8.58038170416335,"rpart","DECISION TREE"
"rpart209",10.5503072810197,"rpart","DECISION TREE"
"rpart210",13.2425697273844,"rpart","DECISION TREE"
"rpart211",8.41821634836598,"rpart","DECISION TREE"
"rpart212",7.89508474622914,"rpart","DECISION TREE"
"rpart213",8.13002884653037,"rpart","DECISION TREE"
"rpart214",10.1810291092326,"rpart","DECISION TREE"
"rpart215",9.98590052974645,"rpart","DECISION TREE"
"rpart216",9.47561821968686,"rpart","DECISION TREE"
"rpart217",9.96441290006904,"rpart","DECISION TREE"
"rpart218",10.5013379958021,"rpart","DECISION TREE"
"rpart219",9.70844133291464,"rpart","DECISION TREE"
"rpart220",10.4230850522756,"rpart","DECISION TREE"
"rpart221",9.31011102364449,"rpart","DECISION TREE"
"rpart222",9.70771218420437,"rpart","DECISION TREE"
"rpart223",10.0384017439825,"rpart","DECISION TREE"
"rpart224",8.69712440549246,"rpart","DECISION TREE"
"rpart225",10.8714682837808,"rpart","DECISION TREE"
"rpart226",9.83753740751483,"rpart","DECISION TREE"
"rpart227",7.78698565374032,"rpart","DECISION TREE"
"rpart228",8.91518814507927,"rpart","DECISION TREE"
"rpart229",10.2158217110476,"rpart","DECISION TREE"
"rpart230",9.64602268908429,"rpart","DECISION TREE"
"rpart231",10.3406370027988,"rpart","DECISION TREE"
"rpart232",8.8882001263513,"rpart","DECISION TREE"
"rpart233",11.6105829844957,"rpart","DECISION TREE"
"rpart234",10.347535469147,"rpart","DECISION TREE"
"rpart235",10.3253280383596,"rpart","DECISION TREE"
"rpart236",8.2053044730432,"rpart","DECISION TREE"
"rpart237",8.88033173410454,"rpart","DECISION TREE"
"rpart238",9.54333683900128,"rpart","DECISION TREE"
"rpart239",11.8931982092015,"rpart","DECISION TREE"
"rpart240",10.3932554084346,"rpart","DECISION TREE"
"rpart241",12.1992207569353,"rpart","DECISION TREE"
"rpart242",9.14043268211606,"rpart","DECISION TREE"
"rpart243",8.3108903140323,"rpart","DECISION TREE"
"rpart244",9.63221746961188,"rpart","DECISION TREE"
"rpart245",9.73070415298756,"rpart","DECISION TREE"
"rpart246",10.1368543613299,"rpart","DECISION TREE"
"rpart247",11.5975406956473,"rpart","DECISION TREE"
"rpart248",9.43042582073976,"rpart","DECISION TREE"
"rpart249",9.47918907605432,"rpart","DECISION TREE"
"rpart250",9.72816479875784,"rpart","DECISION TREE"
"rpart251",9.52355377531034,"rpart","DECISION TREE"
"rpart252",6.96354975745808,"rpart","DECISION TREE"
"rpart253",12.2392534754974,"rpart","DECISION TREE"
"rpart254",8.55181413799265,"rpart","DECISION TREE"
"rpart255",10.0952037349772,"rpart","DECISION TREE"
"rpart256",9.5775207850089,"rpart","DECISION TREE"
"rpart257",9.68778024155045,"rpart","DECISION TREE"
"rpart258",8.85587699334149,"rpart","DECISION TREE"
"rpart259",11.418359565054,"rpart","DECISION TREE"
"rpart260",11.5951391942184,"rpart","DECISION TREE"
"rpart261",9.30984271916146,"rpart","DECISION TREE"
"rpart262",9.07462161514678,"rpart","DECISION TREE"
"rpart263",10.3975684394679,"rpart","DECISION TREE"
"rpart264",8.8909643195883,"rpart","DECISION TREE"
"rpart265",10.067561903125,"rpart","DECISION TREE"
"rpart266",9.60020084224112,"rpart","DECISION TREE"
"rpart267",10.5617510864813,"rpart","DECISION TREE"
"rpart268",9.29814938184692,"rpart","DECISION TREE"
"rpart269",9.20740584949538,"rpart","DECISION TREE"
"rpart270",7.96654920650107,"rpart","DECISION TREE"
"rpart271",8.59263784474473,"rpart","DECISION TREE"
"rpart272",9.83695772589738,"rpart","DECISION TREE"
"rpart273",10.9963697493114,"rpart","DECISION TREE"
"rpart274",9.38471575606591,"rpart","DECISION TREE"
"rpart275",9.9081129634449,"rpart","DECISION TREE"
"rpart276",9.15966438616496,"rpart","DECISION TREE"
"rpart277",8.42495674912557,"rpart","DECISION TREE"
"rpart278",9.71184819208759,"rpart","DECISION TREE"
"rpart279",7.99120260090631,"rpart","DECISION TREE"
"rpart280",10.4979085315243,"rpart","DECISION TREE"
"rpart281",9.59727669106374,"rpart","DECISION TREE"
"rpart282",8.77079700550597,"rpart","DECISION TREE"
"rpart283",10.2147778538445,"rpart","DECISION TREE"
"rpart284",8.14610253230138,"rpart","DECISION TREE"
"rpart285",11.7866172342166,"rpart","DECISION TREE"
"rpart286",8.96746540409152,"rpart","DECISION TREE"
"rpart287",10.3195552501832,"rpart","DECISION TREE"
"rpart288",8.59632346077866,"rpart","DECISION TREE"
"rpart289",9.48195096824656,"rpart","DECISION TREE"
"rpart290",10.1826324674137,"rpart","DECISION TREE"
"rpart291",10.238275261936,"rpart","DECISION TREE"
"rpart292",10.7565940920628,"rpart","DECISION TREE"
"rpart293",9.58449655703138,"rpart","DECISION TREE"
"rpart294",9.93986980811522,"rpart","DECISION TREE"
"rpart295",10.7223014288097,"rpart","DECISION TREE"
"rpart296",8.54173791782332,"rpart","DECISION TREE"
"rpart297",10.3351166104263,"rpart","DECISION TREE"
"rpart298",8.22689663058276,"rpart","DECISION TREE"
"rpart299",10.9921061414921,"rpart","DECISION TREE"
"rpart300",8.6306587042878,"rpart","DECISION TREE"
"rpart301",11.3246602733715,"rpart","DECISION TREE"
"rpart302",10.7392739939095,"rpart","DECISION TREE"
"rpart303",10.055549370463,"rpart","DECISION TREE"
"rpart304",7.89845163215985,"rpart","DECISION TREE"
"rpart305",9.64600652097746,"rpart","DECISION TREE"
