"","score","method","forest"
"rpart1",18.7905997939,"rpart","DECISION TREE"
"rpart2",21.5595954581929,"rpart","DECISION TREE"
"rpart3",22.2029145818825,"rpart","DECISION TREE"
"rpart4",17.6374727838928,"rpart","DECISION TREE"
"rpart5",20.5556190081898,"rpart","DECISION TREE"
"rpart6",19.528558429309,"rpart","DECISION TREE"
"rpart7",20.2375577985268,"rpart","DECISION TREE"
"rpart8",18.7509290516403,"rpart","DECISION TREE"
"rpart9",23.9957771602343,"rpart","DECISION TREE"
"rpart10",22.4889270570533,"rpart","DECISION TREE"
"rpart11",20.4424923471943,"rpart","DECISION TREE"
"rpart12",21.439053796764,"rpart","DECISION TREE"
"rpart13",20.1385461070134,"rpart","DECISION TREE"
"rpart14",19.952225645509,"rpart","DECISION TREE"
"rpart15",19.7094616134873,"rpart","DECISION TREE"
"rpart16",17.1585153039499,"rpart","DECISION TREE"
"rpart17",17.8327226369122,"rpart","DECISION TREE"
"rpart18",20.9745565279562,"rpart","DECISION TREE"
"rpart19",21.3840457304048,"rpart","DECISION TREE"
"rpart20",18.9172416948661,"rpart","DECISION TREE"
"rpart21",19.0170785419759,"rpart","DECISION TREE"
"rpart22",19.7927428121082,"rpart","DECISION TREE"
"rpart23",16.610769776508,"rpart","DECISION TREE"
"rpart24",19.4705123779804,"rpart","DECISION TREE"
"rpart25",20.9551308615444,"rpart","DECISION TREE"
"rpart26",19.1291307409441,"rpart","DECISION TREE"
"rpart27",17.8699821993759,"rpart","DECISION TREE"
"rpart28",20.1452986265792,"rpart","DECISION TREE"
"rpart29",19.8515448043244,"rpart","DECISION TREE"
"rpart30",19.1070778804933,"rpart","DECISION TREE"
"rpart31",23.149354605954,"rpart","DECISION TREE"
"rpart32",19.1753090889697,"rpart","DECISION TREE"
"rpart33",21.1048174107622,"rpart","DECISION TREE"
"rpart34",20.2326032070041,"rpart","DECISION TREE"
"rpart35",20.7009547299151,"rpart","DECISION TREE"
"rpart36",19.700286417102,"rpart","DECISION TREE"
"rpart37",17.9178380662507,"rpart","DECISION TREE"
"rpart38",18.8016127174838,"rpart","DECISION TREE"
"rpart39",19.5729751371064,"rpart","DECISION TREE"
"rpart40",19.3726834559807,"rpart","DECISION TREE"
"rpart41",18.8179690885707,"rpart","DECISION TREE"
"rpart42",19.8824193098531,"rpart","DECISION TREE"
"rpart43",15.3230172328798,"rpart","DECISION TREE"
"rpart44",21.0163751659267,"rpart","DECISION TREE"
"rpart45",20.0693388873167,"rpart","DECISION TREE"
"rpart46",19.8346854286848,"rpart","DECISION TREE"
"rpart47",18.5397058287442,"rpart","DECISION TREE"
"rpart48",18.5407007574367,"rpart","DECISION TREE"
"rpart49",20.6359207770392,"rpart","DECISION TREE"
"rpart50",20.1770298138692,"rpart","DECISION TREE"
"rpart51",17.389158990339,"rpart","DECISION TREE"
"rpart52",17.1042117913715,"rpart","DECISION TREE"
"rpart53",21.1151401317471,"rpart","DECISION TREE"
"rpart54",18.3320233776734,"rpart","DECISION TREE"
"rpart55",19.2628901323094,"rpart","DECISION TREE"
"rpart56",16.3350548860498,"rpart","DECISION TREE"
"rpart57",18.396556272374,"rpart","DECISION TREE"
"rpart58",18.7298559771967,"rpart","DECISION TREE"
"rpart59",19.525819027446,"rpart","DECISION TREE"
"rpart60",18.2970848311219,"rpart","DECISION TREE"
"rpart61",19.4891115318904,"rpart","DECISION TREE"
"rpart62",19.6501120032784,"rpart","DECISION TREE"
"rpart63",22.5101573941861,"rpart","DECISION TREE"
"rpart64",18.647141834231,"rpart","DECISION TREE"
"rpart65",19.0727964211463,"rpart","DECISION TREE"
"rpart66",17.501633874953,"rpart","DECISION TREE"
"rpart67",18.6769932956028,"rpart","DECISION TREE"
"rpart68",19.5802344893608,"rpart","DECISION TREE"
"rpart69",20.1179468228318,"rpart","DECISION TREE"
"rpart70",21.4274946857039,"rpart","DECISION TREE"
"rpart71",20.7401080076497,"rpart","DECISION TREE"
"rpart72",19.7150916606296,"rpart","DECISION TREE"
"rpart73",19.9845153048056,"rpart","DECISION TREE"
"rpart74",16.8980743889384,"rpart","DECISION TREE"
"rpart75",21.9791047956168,"rpart","DECISION TREE"
"rpart76",19.2399234274152,"rpart","DECISION TREE"
"rpart77",19.3027785201831,"rpart","DECISION TREE"
"rpart78",20.1624852871804,"rpart","DECISION TREE"
"rpart79",17.5907044280832,"rpart","DECISION TREE"
"rpart80",18.6960781881097,"rpart","DECISION TREE"
"rpart81",20.2914782698495,"rpart","DECISION TREE"
"rpart82",20.9154046650936,"rpart","DECISION TREE"
"rpart83",20.2240798245283,"rpart","DECISION TREE"
"rpart84",21.4705315711744,"rpart","DECISION TREE"
"rpart85",18.4265683253486,"rpart","DECISION TREE"
"rpart86",20.1997600363324,"rpart","DECISION TREE"
"rpart87",17.8851563648473,"rpart","DECISION TREE"
"rpart88",21.4266976270287,"rpart","DECISION TREE"
"rpart89",16.5492595036333,"rpart","DECISION TREE"
"rpart90",19.3464932238467,"rpart","DECISION TREE"
"rpart91",18.2545207483701,"rpart","DECISION TREE"
"rpart92",18.0951213940147,"rpart","DECISION TREE"
"rpart93",19.5581982739855,"rpart","DECISION TREE"
"rpart94",19.3796073913031,"rpart","DECISION TREE"
"rpart95",19.6129486027571,"rpart","DECISION TREE"
"rpart96",22.7919012360449,"rpart","DECISION TREE"
"rpart97",19.6212588798169,"rpart","DECISION TREE"
"rpart98",16.3808845699625,"rpart","DECISION TREE"
"rpart99",20.6595722939767,"rpart","DECISION TREE"
"rpart100",16.7931808155339,"rpart","DECISION TREE"
